TurbID,x,y,Ele
63,5292.8255,2605.73505,1411.5
64,5296.0205,3109.6425600000002,1414.5
65,5256.8079,3557.32759,1418.4000244140625
66,5298.3107,4032.5813200000002,1423.5
67,5303.0059,4512.23649,1426.800048828125
68,5343.7185,4955.5575,1428.5999755859375
69,1970.7969,5721.27578,1422.5
70,2012.9322,6197.04607,1426.0999755859375
71,1971.5207,6740.610140000001,1428.5999755859375
72,2001.7513,7146.10095,1431.5
73,1977.0235,7622.8578,1435.2000732421875
74,1974.6634,8093.11429,1436.7000732421875
75,2017.4857,8572.23882,1441.5
76,1980.9697,9047.21395,1445.4000244140625
77,1982.9086,9520.0003,1449.4000244140625
78,2020.142,10003.91653,1452.5
79,1981.1668,10475.97878,1456.800048828125
80,1873.4535,501.78149,1391.2000732421875
81,1950.4976,974.4432400000001,1394.9000244140625
82,2041.5691,1404.9161900000001,1395.5999755859375
83,1953.9862,1922.45644,1399.5999755859375
84,1954.9133,2399.67753,1404.4000244140625
85,1961.5475,2873.83659,1406.7000732421875
86,1961.2125,3349.2147600000003,1410.2000732421875
87,2016.8768,3821.28985,1411.5
88,1967.4231,4297.3679,1413.5
89,1988.9609,4770.76413,1415.5999755859375
90,1970.654,5247.3277100000005,1420.0
91,1017.8906,6941.41909,1432.0
92,1035.7611,7403.51736,1435.2000732421875
93,1035.6523,7851.07697,1438.300048828125
94,1024.2895,8354.88271,1439.4000244140625
95,1024.0701,8829.17894,1441.4000244140625
96,1002.5359,9303.89084,1446.0999755859375
97,1016.791,9830.6455,1447.5999755859375
98,1064.6639,10259.40545,1450.800048828125
99,1001.5682,10737.13956,1453.4000244140625
100,1003.5004,11210.56368,1456.0
101,1005.4042,11685.24357,1460.4000244140625
102,952.5796,1710.2570600000001,1394.300048828125
103,965.8279,2210.0841,1396.4000244140625
104,1029.4748,2642.2018199999998,1400.2000732421875
105,977.7406,3134.45235,1402.5
106,1013.8914,3609.00665,1405.4000244140625
107,927.8242,4086.1899,1408.2000732421875
108,1022.895,4557.30585,1411.5
109,1025.7875,5033.51128,1414.4000244140625
110,1014.3173,5509.0799,1418.4000244140625
111,988.6922,5982.41676,1422.4000244140625
112,988.7497,6455.04406,1429.0
113,9.637399999,7189.28109,1427.2000732421875
114,41.4225,7662.24037,1431.300048828125
115,27.2828,8136.77274,1434.2000732421875
116,16.9467,8612.70454,1437.4000244140625
117,17.3727,9086.27586,1442.0999755859375
118,18.2145,9561.27009,1445.0999755859375
119,19.0503,10044.405340000001,1449.5999755859375
120,32.1355,10516.756370000001,1452.300048828125
121,34.0338,10994.26663,1455.4000244140625
122,19.1439,11470.36638,1458.300048828125
123,61.335,11944.36985,1461.7000732421875
124,0.0,1975.4749399999998,1392.0999755859375
125,18.6945,2425.30767,1395.5999755859375
126,8.535,2898.76489,1402.7000732421875
127,31.2394,3372.1809399999997,1402.4000244140625
128,68.4751,3862.0351,1408.0
129,19.5283,4309.05443,1409.0999755859375
130,12.6509,4814.6004,1412.4000244140625
131,23.3458,5284.65439,1416.300048828125
132,62.6774,5749.90633,1421.0
133,78.4309,6231.32903,1423.4000244140625
134,11.3385,6713.46517,1424.7000732421875
